TransactionTypeID,Transaction,TransactionCompany,TransactionGroup,TransactionTypeGroup,TransactionTypeSubGroup,TransactionName,Additive,IsReversal
{03f89803-662f-4234-bf8e-b59296b4961f},Money3\Insurance\Loan Termination Insurance,Money3,Insurance,Insurance,Insurance,Loan Termination Insurance,1,Transaction
{1711bd64-942a-456a-b723-e65d3c877a89},Money3\Loan\Payment\Repayment Dishonour OLD,Money3,Cash in,Repayment,Dishonour,Loan Dishonour,1,Transaction
{355d522c-02fb-4392-92fe-d5a32a8df435},Money3\Fee\Auction House Fee,Money3,Loan fee,Fee,Discharge,Auction House Fee,1,Transaction
{532699e4-14a2-47c9-bc3f-3cc6f16ca813},Money3\Rental\Adjust Down - Initial Rental Amount,Money3,Rental,Rental,Rental,Adjust - Initial Rental Amount,1,Transaction
{5f4bc663-fa5b-4281-8b1f-4b34a82c2a8c},Money3\Loan\Interest\Interest Adjustment (CR),Money3,Interest,Interest,Interest,Interest Adjustment (CR),1,Transaction
{844b24ea-96c6-4a34-8e29-02f05406db15},Money3\Rental\Fines,Money3,Rental,Rental,Rental,Fines,1,Transaction
{86b90c31-7d4c-407d-ac5e-ab39a83ab88e},Money3\Insurance\Loan Protection,Money3,Insurance,Insurance,Insurance,Loan Protection Insurance,1,Transaction
{8d8555e4-a6b5-4b89-a097-4ce6e11ed478},Money3\Fee\WaiveCr,Money3,Waive,Fee,Waive,System Waived Credit,1,Transaction
{91015862-144e-4c90-b7f0-5512c07339e8},Money3\Special\M3 Prinicpal Payment,Money3,Cash in,Repayment,Repayment,M3 Prinicpal Payment,0,Transaction
{98284444-284e-44e1-a04b-7c4d6d984f8a},Money3\Rental\Payment Direct Credit Recieved,Money3,Rental,Rental,Rental,Payment (Direct Credit Received),1,Transaction
{b3452828-3b39-485b-80ef-7a680a02a7ff},Money3\Conversion\Original Loan Amount,Money3,Conversion,Conversion,Conversion,Original Loan Amount,1,Transaction
{b9feb75b-861d-45cc-b8d0-ee490e16e98f},Money3\Fee\Reversal\LACC Fee Refund,Money3,Loan Fee,Fee,loan,LACC Fee Refund,1,Reversal
{ca70780d-3010-4011-8263-5fa438d612db},Money3\Insurance\Consumer Credit Insurance,Money3,Insurance,Insurance,Insurance,Consumer Credit Insurance,1,Transaction
{cfaa6035-dc9e-49fd-ba1e-4917282f86a4},Money3\Insurance\Tyre,Money3,Insurance,Insurance,Insurance,Tyre Insurance,1,Transaction
{d07f93a7-f98c-42b8-9953-a9a62879035e},Money3\Insurance\Purchase Price Protection,Money3,Insurance,Insurance,Insurance,Purchase Price Protection,1,Transaction
{d297a55e-aa3a-4928-8b38-a6da5c72562f},Money3\Disbursement\Direct Credit - $20 Easter Promo Credit,Money3,Promotions,Promotions,Promotions,Direct Credit - $20 Easter Promo Credit,0,Transaction
{f6260e2e-aa78-400a-8c8d-17af33ae0aaf},Money3\Conversion\Original Received (since loan started),Money3,Rental,Rental,Rental,Original Recieved (since loan started),1,Transaction
{258561e7-1a5c-46df-a5fc-b565b854bd69},Money3\Rental\Termination Adjustment,Money3,Rental,Rental,Rental,Termination Adjustment,1,Transaction
{3ad692bd-b95c-4076-a92c-6df406dd7d15},Money3\Disbursement\Initial Rental Amount,Money3,Rental,Rental,Rental,Initial Rental Amount,1,Transaction
{4d6fd04e-d635-429c-9f74-bf03a5a049dc},Money3\Disbursement\Direct Credit - $50 for Free,Money3,Promotions,Promotions,Promotions,Direct Credit - $50 for Free,0,Transaction
{58104117-e95f-415a-8905-36fc122c4983},Money3\Conversion\Opening Balance,Money3,Conversion,Conversion,Conversion,Opening Balance,1,Transaction
{6fd932dc-2f78-43f4-9756-dc13291389ae},Money3\Fee\Reversal\LACC Waive,Money3,Waive,Fee,Waive,LACC Waive,1,Reversal
{914d2104-748b-47fe-b580-3e9939c39d2a},Money3\LOC\Payment\Payment Reversal - Cash,Money3,Cash in,Repayment,Repayment,Payment Reversal - Cash,1,Reversal
{9bba1416-e284-49b7-9eb8-9338afa9d139},Money3\Insurance\Marine Warranty,Money3,Insurance,Insurance,Insurance,Marine Warranty,1,Transaction
{a09e0d9c-fe06-4404-b3b6-d454248bbae8},Money3\Insurance\Complete Car Care Cover,Money3,Insurance,Insurance,Insurance,Complete Car Care Cover,1,Transaction
{c151b776-f6c8-4f36-aa5a-bab1cdb7e7c7},Money3\Fee\Rentals\Vehicle Penalty Fee,Money3,Rental,Rental,Rental,Penalty Fee,1,Transaction
{ce886294-cb63-4892-89ac-1c67d8ad51d6},Money3\Insurance\Reversal\Insurance,Money3,Insurance,Insurance,Insurance,Insurance - Reversal,1,Reversal
{E0D583A7-2FD0-4FF5-9CBF-414844BDADEE},Money3\Fee\Deferred Establishment Fee a,Money3,Loan fee,Fee,loan,Deferred Establishment Fee,1,Transaction
{f332dcd2-e166-4b3a-92ab-be98a61be431},Money3\Insurance\Walkaway Insurance,Money3,Insurance,Insurance,Insurance,Walkaway Insurance,1,Transaction
{fb12d670-dffe-40b2-97d6-6c82669029f4},Money3\Disbursement\Cash Disbursement - $20 Easter Promo Cash,Money3,Promotions,Promotions,Promotions,Cash Disbursement - $20 Easter Promo Cash,0,Transaction
{020b0792-9879-4efe-82c5-bfc3d36d1a53},Money3\Fee\Waived\Money3 Waived (Credit),Money3,Waive,Fee,Waive,Money 3 - Waived,1,Transaction
{184ff53b-899c-4bb9-929d-41cf58bd8864},Money3\Fee\Discharge\Negotiated Payout on Discharge - Reversal,Money3,,,,Negotiated Payout on Discharge - Reversal,1,Reversal
{6afe506f-3621-49a6-a11f-80b34c60f8fd},Money3\Loan\Schedule\Instalment Due (Actual) - Payment,Money3,,,,Instalment Due (Actual)  - payment Reduces Schedule Balance,0,Transaction
{7906e72d-a07d-483f-a827-77e5ea6340b6},Loan\AUFee\Dishonour Fee,Money3,,,,Dishonour Fee,1,Transaction
{9d9bd706-59d5-4961-b8b6-377d4dd03c58},Loan\Fee\Application Fee Variable,Money3,,,,Application Fee,1,Transaction
{ace232e8-0025-4daf-8535-4e31e55ce71f},Loan\Payment\Repayment (Salary Payment),Money3,,,,Repayment (Salary Payment),1,Transaction
